"cnpj";"coalesce";"coalesce";"coalesce";"y"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"32081020-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
14;"2556";"90275010-000";"0";"tributado"
14;"1556";"73079900-000";"0";"tributado"
14;"1556";"38140090-000";"0";"tributado"
14;"1556";"39204310-000";"0";"tributado"
14;"1556";"85364100-000";"0";"tributado"
14;"1556";"84842000-000";"0";"tributado"
14;"1556";"84842000-000";"0";"tributado"
14;"1556";"84842000-000";"0";"tributado"
14;"1556";"40103200-000";"0";"tributado"
14;"2407";"38089429-000";"0";"tributado"
14;"2407";"38089429-000";"0";"tributado"
14;"2556";"39262000-000";"0";"sem direito"
14;"1556";"44123900-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"73089010-000";"0";"tributado"
14;"1101";"00000000-000";"0";"tributado"
14;"1556";"85381000-000";"0";"tributado"
14;"1556";"39172300-000";"0";"tributado"
14;"1556";"61169200-000";"0";"tributado"
14;"1556";"39172300-000";"0";"tributado"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"1101";"39232190-000";"0";"tributado"
14;"1101";"39232190-000";"0";"tributado"
14;"1101";"39232190-000";"0";"tributado"
14;"1101";"39232190-000";"0";"tributado"
14;"1556";"85359000-000";"0";"tributado"
14;"1556";"39172300-000";"0";"tributado"
14;"1556";"39172900-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"85366910-000";"0";"tributado"
14;"1556";"39259090-000";"0";"tributado"
14;"0";"0";"0";"tributado"
14;"1556";"73072200-000";"0";"tributado"
14;"1556";"73064000-000";"0";"tributado"
14;"1556";"40169300-000";"0";"tributado"
14;"1556";"84812090-000";"0";"monofasico revenda de produtos"
14;"1556";"40169300-000";"0";"tributado"
14;"1556";"68042211-000";"0";"tributado"
14;"1556";"68042211-000";"0";"tributado"
14;"1556";"83111000-000";"0";"tributado"
14;"1556";"83111000-000";"0";"tributado"
14;"1556";"85444200-000";"0";"tributado"
14;"1556";"85365090-000";"0";"tributado"
14;"1556";"85366910-000";"0";"tributado"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"61169200-000";"0";"tributado"
14;"1556";"73269090-000";"0";"tributado"
14;"1556";"74071010-000";"0";"tributado"
14;"1556";"85365090-000";"0";"tributado"
14;"1556";"85365090-000";"0";"tributado"
14;"1556";"85365090-000";"0";"tributado"
14;"1556";"39162000-000";"0";"tributado"
14;"1556";"85359000-000";"0";"tributado"
14;"1556";"73259990-000";"0";"tributado"
14;"1556";"85362000-000";"0";"tributado"
14;"1556";"84819090-000";"0";"tributado"
14;"1556";"73064000-000";"0";"tributado"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"1556";"73269090-000";"0";"tributado"
14;"1556";"85362000-000";"0";"tributado"
14;"1556";"85362000-000";"0";"tributado"
14;"1556";"85362000-000";"0";"tributado"
14;"1556";"39174090-000";"0";"tributado"
14;"1556";"90262090-000";"0";"tributado"
14;"1556";"73072200-000";"0";"tributado"
14;"1556";"73072300-000";"0";"tributado"
14;"1556";"73072900-000";"0";"tributado"
14;"1556";"84818095-000";"0";"tributado"
14;"1556";"73071910-000";"0";"tributado"
14;"1556";"84818095-000";"0";"tributado"
14;"1556";"84212100-000";"0";"tributado"
14;"1556";"73072200-000";"0";"tributado"
14;"1556";"84212100-000";"0";"tributado"
14;"1556";"39174090-000";"0";"tributado"
14;"1556";"73071910-000";"0";"tributado"
14;"1556";"73071910-000";"0";"tributado"
14;"1556";"73064000-000";"0";"tributado"
14;"1556";"39173300-000";"0";"tributado"
14;"1556";"73072200-000";"0";"tributado"
14;"1556";"39172300-000";"0";"tributado"
14;"1556";"73072900-000";"0";"tributado"
14;"1556";"73072900-000";"0";"tributado"
14;"1556";"73072300-000";"0";"tributado"
14;"1556";"73072200-000";"0";"tributado"
14;"1556";"84818095-000";"0";"tributado"
14;"1556";"73072200-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
