"cnpj";"cfop";"ncm";"natureza_frete";"y"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2101";"48191000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"1556";"64019990-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"84219999-000";"0";"tributado"
14;"1556";"84213990-000";"0";"tributado"
14;"1556";"39211390-000";"0";"tributado"
14;"1556";"84219999-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"39174090-000";"0";"tributado"
14;"2201";"04015029-000";"0";"tributado"
14;"2556";"39169090-000";"0";"tributado"
14;"1201";"04061090-000";"0";"tributado"
14;"1201";"04061010-000";"0";"aliquota zero"
14;"1201";"04061010-000";"0";"aliquota zero"
14;"1556";"84213990-000";"0";"tributado"
14;"1556";"38200000-000";"0";"tributado"
14;"1556";"39249000-000";"0";"sem direito"
14;"1556";"68053090-000";"0";"tributado"
14;"1556";"48182000-000";"0";"tributado"
14;"1556";"39249000-000";"0";"sem direito"
14;"1556";"68053090-000";"0";"tributado"
14;"1101";"48219000-000";"0";"tributado"
14;"1101";"96121090-000";"0";"tributado"
14;"1101";"39239000-000";"0";"tributado"
14;"1101";"39239000-000";"0";"tributado"
14;"1101";"39239000-000";"0";"tributado"
14;"1252";"27160000-000";"0";"tributado"
14;"1556";"34029090-000";"0";"tributado"
14;"1556";"34029090-000";"0";"tributado"
14;"1556";"34029090-000";"0";"tributado"
14;"1556";"34029090-000";"0";"tributado"
14;"1556";"34029090-000";"0";"tributado"
14;"1556";"34029090-000";"0";"tributado"
14;"1556";"28042100-000";"0";"tributado"
14;"1556";"28042100-000";"0";"sem direito"
14;"1556";"40092190-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"44039900-000";"0";"tributado"
14;"1556";"39262000-000";"0";"tributado"
14;"1556";"63079010-000";"0";"tributado"
14;"1556";"61099000-000";"0";"tributado"
14;"1556";"64019990-000";"0";"tributado"
14;"1556";"64019990-000";"0";"tributado"
14;"1556";"64019990-000";"0";"tributado"
14;"1556";"64019990-000";"0";"tributado"
14;"1556";"39174090-000";"0";"tributado"
14;"1556";"82032010-000";"0";"tributado"
14;"1556";"82054000-000";"0";"tributado"
14;"1556";"85444200-000";"0";"tributado"
14;"1556";"82052000-000";"0";"tributado"
14;"1556";"82032010-000";"0";"tributado"
14;"1556";"90151000-000";"0";"tributado"
14;"1556";"85393100-000";"0";"tributado"
14;"1556";"85366100-000";"0";"tributado"
14;"1556";"39229000-000";"0";"tributado"
14;"1556";"74122000-000";"0";"tributado"
14;"1556";"39199090-000";"0";"tributado"
14;"1556";"74122000-000";"0";"tributado"
14;"1556";"73269090-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"85365090-000";"0";"tributado"
14;"1556";"85364900-000";"0";"tributado"
14;"1556";"85362000-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"85366990-000";"0";"tributado"
14;"1556";"85363000-000";"0";"tributado"
14;"1556";"85359000-000";"0";"tributado"
14;"1556";"85365090-000";"0";"tributado"
14;"1556";"85359000-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"90328982-000";"0";"tributado"
14;"1556";"85364900-000";"0";"tributado"
14;"1556";"39173290-000";"0";"tributado"
14;"1556";"74122000-000";"0";"tributado"
14;"1556";"39174090-000";"0";"tributado"
14;"1556";"39173290-000";"0";"tributado"
14;"1556";"39174090-000";"0";"tributado"
14;"1556";"39199090-000";"0";"tributado"
14;"1556";"85364900-000";"0";"tributado"
14;"1556";"85045000-000";"0";"tributado"
14;"1556";"82029990-000";"0";"tributado"
14;"1556";"55151900-000";"0";"tributado"
14;"1556";"61099000-000";"0";"tributado"
14;"1556";"61046300-000";"0";"sem direito"
14;"2556";"90258000-000";"0";"tributado"
14;"2556";"70179000-000";"0";"tributado"
14;"2556";"28342190-000";"0";"tributado"
14;"2556";"70179000-000";"0";"tributado"
14;"2556";"70179000-000";"0";"tributado"
14;"2556";"70179000-000";"0";"tributado"
14;"2556";"39269040-000";"0";"tributado"
14;"2556";"38220090-000";"0";"tributado"
14;"2556";"38220090-000";"0";"tributado"
14;"2556";"39269040-000";"0";"tributado"
14;"2556";"70179000-000";"0";"tributado"
14;"2556";"39269040-000";"0";"tributado"
14;"2556";"90279099-000";"0";"tributado"
14;"1201";"04061090-000";"0";"tributado"
14;"1201";"04061090-000";"0";"aliquota zero"
14;"1201";"04061090-000";"0";"aliquota zero"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1556";"82041200-000";"0";"tributado"
14;"1556";"82041100-000";"0";"tributado"
14;"1556";"82041100-000";"0";"tributado"
14;"1556";"82055900-000";"0";"tributado"
14;"1556";"73269090-000";"0";"tributado"
14;"1556";"82054000-000";"0";"tributado"
14;"2101";"21069090-000";"0";"tributado"
14;"2101";"13023910-000";"0";"tributado"
14;"2556";"73072900-000";"0";"tributado"
14;"2556";"73072200-000";"0";"tributado"
14;"2556";"74122000-000";"0";"tributado"
14;"2556";"73072200-000";"0";"tributado"
14;"2556";"40169300-000";"0";"tributado"
14;"2556";"40169300-000";"0";"tributado"
14;"2556";"73181500-000";"0";"tributado"
14;"1201";"04061090-000";"0";"tributado"
14;"1201";"04061090-000";"0";"aliquota zero"
14;"2556";"40092190-000";"0";"tributado"
14;"2556";"40093100-000";"0";"tributado"
14;"1201";"04061010-000";"0";"aliquota zero"
14;"1201";"04061090-000";"0";"tributado"
14;"1201";"04061090-000";"0";"aliquota zero"
14;"1556";"90261029-000";"0";"tributado"
14;"1556";"34029090-000";"0";"tributado"
14;"1556";"40151900-000";"0";"tributado"
14;"1556";"33049990-000";"0";"monofasico revenda de produtos"
14;"1556";"64019990-000";"0";"tributado"
14;"1556";"64019990-000";"0";"tributado"
14;"2101";"48191000-000";"0";"tributado"
14;"2101";"48191000-000";"0";"tributado"
14;"2101";"48191000-000";"0";"tributado"
14;"2101";"48191000-000";"0";"tributado"
14;"1556";"38220090-000";"0";"tributado"
