"char_length";"cfop";"ncm";"coalesce";"y"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"2102";"30049099-000";"0";"monofasico revenda de produtos"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1403";"39172300-000";"0";"tributado"
14;"1403";"39172300-000";"0";"tributado"
14;"1403";"39174090-000";"0";"tributado"
14;"1403";"39174090-000";"0";"tributado"
14;"1403";"39174090-000";"0";"tributado"
14;"1403";"39174090-000";"0";"tributado"
14;"1403";"39174090-000";"0";"tributado"
14;"1403";"85381000-000";"0";"tributado"
14;"1403";"39211900-000";"0";"tributado"
14;"1403";"35061090-000";"0";"tributado"
14;"1102";"04012090-000";"0";"tributado"
14;"1403";"85168010-000";"0";"tributado"
14;"1403";"85161000-000";"0";"tributado"
14;"1403";"85161000-000";"0";"tributado"
14;"1102";"73049090-000";"0";"tributado"
14;"1102";"73239100-000";"0";"tributado"
14;"1102";"73269090-000";"0";"tributado"
14;"1102";"73069010-000";"0";"tributado"
14;"1102";"73069090-000";"0";"tributado"
14;"1102";"73069090-000";"0";"tributado"
14;"1102";"73259990-000";"0";"tributado"
14;"2351";"00000000-000";"2";"tributado"
14;"1102";"30045090-000";"0";"monofasico revenda de produtos"
14;"1102";"30049023-000";"0";"monofasico revenda de produtos"
14;"1102";"30045040-000";"0";"monofasico revenda de produtos"
14;"1102";"30049023-000";"0";"monofasico revenda de produtos"
14;"1102";"30045040-000";"0";"monofasico revenda de produtos"
14;"2403";"34022000-000";"0";"tributado"
14;"2403";"34022000-000";"0";"tributado"
14;"2351";"00000000-000";"2";"tributado"
14;"1356";"00000000-000";"2";"tributado"
14;"2403";"84818019-000";"0";"tributado"
14;"2403";"39174090-000";"0";"tributado"
14;"2403";"85362000-000";"0";"tributado"
14;"2403";"85061010-000";"0";"tributado"
14;"2403";"84818019-000";"0";"tributado"
14;"2403";"84818095-000";"0";"tributado"
14;"2403";"39174090-000";"0";"tributado"
14;"2403";"84818095-000";"0";"tributado"
14;"2403";"85061010-000";"0";"tributado"
