"cnpj";"cfop";"ncm";"natureza_frete";"y"
11;"1202";"38089999-000";"0";"aliquota zero"
11;"1202";"38220090-000";"0";"tributado"
11;"1202";"38249029-000";"0";"monofasico revenda de produtos"
11;"1202";"39169010-000";"0";"tributado"
11;"1202";"39172900-000";"0";"tributado"
11;"1202";"39191000-000";"0";"tributado"
11;"1202";"39201099-000";"0";"tributado"
11;"1202";"39219090-000";"0";"tributado"
11;"1202";"39231090-000";"0";"tributado"
11;"1202";"39232190-000";"0";"tributado"
11;"1202";"39232990-000";"0";"tributado"
11;"1202";"39233000-000";"0";"monofasico revenda de produtos"
11;"1202";"39239000-000";"0";"tributado"
11;"1202";"39241000-000";"0";"tributado"
11;"1202";"39249000-000";"0";"tributado"
11;"1202";"39251000-000";"0";"tributado"
11;"1202";"39262000-000";"0";"tributado"
11;"1202";"39269090-000";"0";"tributado"
11;"1202";"40151900-000";"0";"tributado"
11;"1202";"40159000-000";"0";"tributado"
11;"1202";"40161010-000";"0";"monofasico revenda de produtos"
11;"1202";"40169300-000";"0";"tributado"
11;"1202";"40169990-000";"0";"tributado"
11;"1202";"42010090-000";"0";"tributado"
11;"1202";"42033000-000";"0";"tributado"
11;"1202";"44013900-000";"0";"tributado"
11;"1202";"44029000-000";"0";"tributado"
11;"1202";"44190000-000";"0";"tributado"
11;"1202";"46029000-000";"0";"tributado"
11;"1202";"48051100-000";"0";"tributado"
11;"1202";"48101390-000";"0";"tributado"
11;"1202";"48114110-000";"0";"tributado"
11;"1202";"48194000-000";"0";"tributado"
11;"1202";"48232099-000";"0";"tributado"
11;"1202";"49029000-000";"0";"tributado"
11;"1202";"49111090-000";"0";"tributado"
11;"1202";"52042000-000";"0";"tributado"
11;"1202";"54060010-000";"0";"tributado"
11;"1202";"56031290-000";"0";"tributado"
11;"1202";"56031310-000";"0";"tributado"
11;"1202";"56075090-000";"0";"tributado"
11;"1202";"59090000-000";"0";"tributado"
11;"1202";"62104000-000";"0";"tributado"
11;"1202";"63014000-000";"0";"tributado"
11;"1202";"63026000-000";"0";"tributado"
11;"1202";"63071000-000";"0";"tributado"
11;"1202";"63079090-000";"0";"tributado"
11;"1202";"64019200-000";"0";"tributado"
11;"1202";"64022000-000";"0";"tributado"
11;"1202";"64039990-000";"0";"tributado"
11;"1202";"64041900-000";"0";"tributado"
11;"1202";"64052000-000";"0";"tributado"
11;"1202";"65040010-000";"0";"tributado"
11;"1202";"66019110-000";"0";"tributado"
11;"1202";"69051000-000";"0";"tributado"
11;"1202";"70109021-000";"0";"monofasico revenda de produtos"
11;"1202";"72123000-000";"0";"tributado"
11;"1202";"73110000-000";"0";"tributado"
11;"1202";"73141900-000";"0";"tributado"
11;"1202";"73194000-000";"0";"tributado"
11;"1202";"73202010-000";"0";"tributado"
11;"1202";"73218100-000";"0";"tributado"
11;"1202";"73239900-000";"0";"tributado"
11;"1202";"73259990-000";"0";"tributado"
11;"1202";"73269090-000";"0";"tributado"
11;"1202";"76129090-000";"0";"monofasico revenda de produtos"
11;"1202";"82011000-000";"0";"tributado"
11;"1202";"82013000-000";"0";"tributado"
11;"1202";"82019000-000";"0";"tributado"
11;"1202";"82032010-000";"0";"tributado"
11;"1202";"82052000-000";"0";"tributado"
11;"1202";"82159910-000";"0";"tributado"
11;"1202";"82159990-000";"0";"tributado"
11;"1202";"83023000-000";"0";"monofasico revenda de produtos"
11;"1202";"84186920-000";"0";"tributado"
11;"1202";"84191910-000";"0";"tributado"
11;"1202";"84198999-000";"0";"tributado"
11;"1202";"84219999-000";"0";"tributado"
11;"1202";"84238900-000";"0";"tributado"
11;"1202";"84248111-000";"0";"monofasico revenda de produtos"
11;"1202";"84248990-000";"0";"tributado"
11;"1202";"84249090-000";"0";"tributado"
11;"1202";"84329000-000";"0";"monofasico revenda de produtos"
11;"1202";"84341000-000";"0";"monofasico revenda de produtos"
11;"1202";"84349000-000";"0";"tributado"
11;"1202";"84361000-000";"0";"monofasico revenda de produtos"
11;"1202";"84362900-000";"0";"monofasico revenda de produtos"
11;"1202";"84369900-000";"0";"tributado"
11;"1202";"84381000-000";"0";"tributado"
11;"1202";"84798940-000";"0";"tributado"
11;"1202";"84811000-000";"0";"monofasico revenda de produtos"
11;"1202";"84818099-000";"0";"tributado"
11;"1202";"85234990-000";"0";"tributado"
11;"1202";"85437092-000";"0";"tributado"
11;"1202";"85469000-000";"0";"tributado"
11;"1202";"90183119-000";"0";"tributado"
11;"1202";"90183190-000";"0";"tributado"
11;"1202";"90183219-000";"0";"tributado"
11;"1202";"90189099-000";"0";"tributado"
11;"1202";"90251110-000";"0";"tributado"
11;"1202";"90251190-000";"0";"tributado"
11;"1202";"90259090-000";"0";"tributado"
11;"1202";"90278014-000";"0";"tributado"
11;"1202";"95044000-000";"0";"tributado"
11;"1202";"96020090-000";"0";"tributado"
11;"1202";"96035000-000";"0";"tributado"
11;"1353";"00000000-000";"0";"sem direito"
11;"1403";"03032300-000";"0";"sem direito"
11;"1403";"44190000-000";"0";"sem direito"
11;"1403";"63079090-000";"0";"sem direito"
11;"1403";"73239900-000";"0";"sem direito"
11;"1403";"82152000-000";"0";"sem direito"
11;"1403";"96031000-000";"0";"sem direito"
11;"1403";"96039000-000";"0";"sem direito"
11;"1411";"04014029-000";"0";"tributado"
11;"1411";"04015029-000";"0";"tributado"
11;"1411";"04022110-000";"0";"aliquota zero"
11;"1411";"04022120-000";"0";"aliquota zero"
11;"1411";"04031000-000";"0";"aliquota zero"
11;"1411";"04039000-000";"0";"aliquota zero"
11;"1411";"04061090-000";"0";"aliquota zero"
11;"1411";"04062000-000";"0";"aliquota zero"
11;"1411";"04069090-000";"0";"aliquota zero"
11;"1411";"04089900-000";"0";"tributado"
11;"1411";"08013200-000";"0";"aliquota zero"
11;"1411";"08119000-000";"0";"aliquota zero"
11;"1411";"09012100-000";"0";"aliquota zero"
11;"1411";"09012200-000";"0";"aliquota zero"
11;"1411";"09021000-000";"0";"tributado"
11;"1411";"09023000-000";"0";"tributado"
11;"1411";"09030090-000";"0";"tributado"
11;"1411";"10059010-000";"0";"tributado"
11;"1411";"12060090-000";"0";"tributado"
11;"1411";"15079011-000";"0";"aliquota zero"
11;"1411";"15091000-000";"0";"aliquota zero"
11;"1411";"15121911-000";"0";"aliquota zero"
11;"1411";"15152910-000";"0";"tributado"
11;"1411";"15171000-000";"0";"aliquota zero"
11;"1411";"16010000-000";"0";"tributado"
11;"1411";"16023220-000";"0";"tributado"
11;"1411";"16025000-000";"0";"tributado"
11;"1411";"16029000-000";"0";"tributado"
11;"1411";"16041310-000";"0";"tributado"
11;"1411";"16041410-000";"0";"tributado"
11;"1411";"17019900-000";"0";"aliquota zero"
11;"1411";"17041000-000";"0";"tributado"
11;"1411";"17049010-000";"0";"tributado"
11;"1411";"17049020-000";"0";"tributado"
